gene	BB09.rpkm	BB10.rpkm	BB17.rpkm	BB19.rpkm	BB20.rpkm	BB21.rpkm	BB11.rpkm	BB12.rpkm	BB18.rpkm	reflen
pdxK.t01	1464	1210	698	573	492	798	884	1890	555	852
yfeK.t01	470	425	107	100	112	218	323	863	112	375
yfeS.t01	732	813	436	441	441	545	761	2202	320	735
cysM.t01	915	829	288	346	335	446	781	1816	403	912
cysA.t01	809	629	180	182	241	453	720	1950	371	1098
cysW.t01	688	616	163	199	255	412	622	1754	404	876
cysU.t01	572	508	148	204	198	354	483	1670	286	834
cysP.t01	845	768	233	220	227	553	1284	2688	580	1017
ucpA.t01	1081	907	483	326	235	460	859	1715	444	792
murR.t01	780	632	223	200	174	454	542	1935	326	858
murQ.t01	930	747	297	241	220	384	613	1831	498	897
murP.t01	1375	1094	377	429	361	671	800	2683	710	1425
yfeW.t01	1184	968	356	339	333	692	861	3034	542	1305
yfeX.t01	2629	2748	1604	1378	1141	1389	2190	2705	1107	900
yfeY.t01	2022	1853	907	593	504	622	1092	1653	467	576
yfeZ.t01	823	617	326	378	331	398	445	1130	348	450
ypeA.t01	761	625	317	450	376	470	388	912	233	426
amiA.t01	1478	1334	607	561	485	736	843	2089	459	870
hemF.t01	964	847	341	378	322	481	815	1892	463	900
eutR.t01	1077	961	371	372	381	658	776	2338	574	1053
eutK.t01	384	218	107	124	70	170	268	818	172	501
eutL.t01	578	437	105	139	124	280	417	1302	220	660
eutC.t01	836	666	252	372	249	396	483	1813	364	888
eutB.t01	2620	2294	1318	1283	1190	1372	2045	3850	1244	1362
intZ.t01	1480	1279	601	495	464	689	995	3090	587	1209
yffL.t01	823	730	362	380	296	442	847	1738	395	642
yffM.t01	243	170	106	58	68	129	125	498	103	246
yffN.t01	365	358	54	84	86	176	232	759	133	369
yffO.t01	382	297	95	150	66	190	206	965	202	417
yffP.t01	562	681	172	240	251	341	392	1351	209	594
yffQ.t01	479	478	209	215	161	261	340	894	170	378
yffR.t01	522	441	247	311	277	426	598	1175	235	393
yffS.t01	1072	904	430	493	402	507	630	1709	433	810
eutA.t01	1077	927	253	360	261	627	594	2692	561	1404
eutH.t01	1070	913	306	327	314	609	674	2624	466	1227
eutG.t01	847	686	233	290	238	526	608	2409	494	1188
eutJ.t01	609	497	83	162	200	340	469	1697	312	837
eutE.t01	1115	879	312	294	307	541	675	2603	610	1404
eutN.t01	256	209	91	70	48	139	176	594	169	288
eutM.t01	236	190	41	48	63	117	239	564	122	294
eutD.t01	736	653	188	227	196	469	512	2029	402	1017
eutT.t01	590	561	181	164	171	332	456	1411	305	804
eutQ.t01	594	519	129	198	167	272	391	1354	300	702
eutP.t01	422	396	135	113	113	133	309	956	198	480
eutS.t01	278	306	94	72	69	168	240	531	146	336
maeB.t01	6826	6617	4045	4570	4027	4113	6736	7895	3351	2280
talA.t01	1107	1145	377	4101	3517	3107	1902	2805	914	951
tktB.t01	1922	1811	628	3369	3340	3075	2333	4783	1398	2004
ypfG.t01	834	854	331	302	213	490	679	2054	442	1044
nudK.t01	567	539	172	155	163	379	357	1478	278	576
aegA.t01	1628	1400	333	543	496	1009	1258	3830	805	1980
narQ.t01	1666	1434	589	475	482	827	1149	3944	668	1701
acrD.t01	3030	2724	871	862	868	1692	1864	6602	1258	3114
ypfM.t01	0	0	0	0	0	0	0	0	0	60
yffB.t01	469	384	247	147	164	187	262	834	152	357
dapE.t01	2030	1668	1114	857	802	942	909	2545	673	1128
ypfN.t01	862	786	552	837	744	695	793	674	343	201
ypfH.t01	785	698	204	333	410	407	586	1425	368	699
tmcA.t01	2494	2314	938	976	958	1429	1628	4325	1110	2016
ypfJ.t01	1261	1315	586	760	755	884	963	2424	630	864
purC.t01	1276	1195	546	477	402	595	2985	4612	2131	714
bamC.t01	1267	1115	416	408	357	442	881	2119	461	1035
dapA.t01	6789	5702	3348	2137	2034	1630	2111	2806	1590	879
gcvR.t01	2151	2163	1438	1439	1344	1053	1372	1835	890	573
bcp.t01	3860	3729	2819	1506	1403	1381	1856	2130	1112	471
hyfA.t01	493	411	165	131	161	272	282	1258	253	618
hyfB.t01	1775	1626	392	518	567	1000	1161	3799	743	2019
hyfC.t01	881	717	205	218	216	395	590	2175	280	948
hyfD.t01	1108	988	320	282	302	610	800	2815	484	1440
hyfE.t01	532	431	157	152	164	366	301	1376	263	651
hyfF.t01	1287	1198	451	412	364	679	1000	3131	709	1581
hyfG.t01	1458	1292	389	504	589	927	1045	3333	735	1668
hyfH.t01	427	421	145	177	139	264	324	872	259	546
hyfI.t01	465	495	161	158	194	301	478	1101	279	759
hyfJ.t01	313	201	60	86	63	200	215	732	199	414
hyfR.t01	1650	1548	412	508	517	934	1314	4147	832	2013
focB.t01	690	535	171	152	154	384	454	1547	277	849
yfgO.t01	1123	872	261	296	292	462	642	2140	448	1062
bepA.t01	5018	4494	2602	2774	2589	2281	3768	4579	1731	1464
yfgD.t01	395	372	158	128	169	281	242	690	230	360
hda.t01	752	630	278	249	284	373	463	1262	344	702
uraA.t01	1387	1246	566	401	334	629	873	2247	564	1290
upp.t01	4942	5445	3514	2256	1891	1935	2480	2871	1713	627
purM.t01	1502	1438	596	444	456	537	1733	3239	1702	1038
purN.t01	1042	937	466	291	267	309	841	1618	558	639
ppk.t01	5407	4963	2763	3507	3483	3082	3727	5356	1979	2067
ppx.t01	3595	3057	1581	1500	1503	1422	1816	3618	1193	1542
yfgF.t01	1898	1752	670	564	633	1204	1395	4682	944	2244
yfgG.t01	1917	1618	1183	1257	1189	923	850	875	418	192
yfgH.t01	417	445	127	130	111	219	340	1135	197	519
yfgI.t01	485	379	115	135	105	260	363	955	188	540
guaA.t01	13442	11970	8899	4473	3767	3105	11323	9942	7699	1578
guaB.t01	4745	4463	3246	2626	1975	1947	4965	6496	3656	1467
xseA.p01	0	0	0	0	0	0	0	0	0	1371
xseA.t01	1933	1833	897	1041	983	1130	1090	2388	715	1371
yfgJ.t01	164	127	28	74	40	66	198	443	49	216
der.t01	2467	1770	988	829	926	1165	1126	3112	780	1473
bamB.t01	4065	3490	2696	2758	2404	2193	3223	3235	1213	1179
yfgM.t01	1330	1130	645	675	493	557	835	1514	506	621
hisS.t01	2303	2365	1170	1049	796	992	1426	2657	782	1275
ispG.t01	1385	1097	469	557	504	695	945	2193	609	1119
rodZ.t01	5675	5884	3933	2677	2351	2355	3093	3396	1839	1014
rlmN.t01	2197	1953	1119	774	638	939	1275	2519	629	1155
ndk.t01	10955	12143	8533	10940	9289	9554	16841	12398	5535	432
pbpC.t01	1801	1515	480	521	566	1086	1284	3862	759	2313
yfhM.t01	4850	4520	1874	2500	2200	3065	3860	9612	2218	4962
sseA.t01	962	879	413	322	332	412	736	1585	351	846
ryfA.r01	210	178	80	69	86	125	173	388	126	304
sseB.t01	753	705	264	172	205	384	412	1359	271	777
pepB.t01	1387	1008	522	484	420	661	930	2349	691	1284
iscX.t01	387	326	190	132	192	182	291	410	147	201
fdx.t01	469	453	226	133	215	217	243	585	130	336
hscA.t01	2227	1876	1091	775	826	1002	1248	3263	922	1851
hscB.t01	681	461	247	218	197	236	322	936	222	516
iscA.t01	530	397	310	254	246	298	453	693	289	324
iscU.t01	1958	1815	1382	1215	1048	1014	1746	1580	861	387
iscS.t01	4425	3453	2129	1759	1914	1631	2114	3348	1363	1215
iscR.t01	1155	760	523	410	394	416	649	1093	353	489
trmJ.t01	1045	824	473	312	298	383	434	1273	428	741
suhB.t01	1962	2029	1556	1278	1094	1115	1283	2144	683	804
